ID,Predicted_Sales
0,0.009705124
1,-0.0126279
2,0.010076839
3,0.0024200634
4,-0.011742743
5,0.016731827
6,-0.0099668065
7,0.016533542
8,0.036854386
9,0.009245759
10,0.011239944
11,0.03766917
12,0.019873472
13,0.028667418
14,-0.004330988
15,0.00056636124
16,-0.005450339
17,-0.0038215176
18,-0.018865073
19,0.0023498023
20,0.02878232
21,0.015095316
22,0.027732698
23,-0.0070314305
24,0.031360347
25,0.0011193269
26,-0.0030940063
27,-0.0071641877
28,0.011720667
29,0.0066578183
30,0.0020824778
31,-0.010654815
32,0.025465673
33,0.009705124
34,-0.0126279
35,0.0113203125
36,0.0024200634
37,-0.011742743
38,0.016731827
39,-0.0099668065
40,0.010292821
41,0.036854386
42,0.0011109597
43,0.011239944
44,0.03766917
45,0.007828119
46,0.028667418
47,-0.004330988
48,0.00056636124
49,-0.005450339
50,-0.0038215176
51,-0.018865073
52,0.0023498023
53,0.028834937
54,0.015095316
55,0.024546608
56,-0.0070314305
57,0.03319734
58,0.005008853
59,-0.009021202
60,-0.0071641877
61,0.014967562
62,0.007859757
63,0.0020824778
64,-0.010654815
65,0.025465673
66,0.024022115
67,-0.0053209616
68,0.025248243
69,0.023851484
70,-0.0060512302
71,0.031048812
72,0.0043502045
73,0.02709707
74,0.04900849
75,0.018677125
76,0.041175097
77,0.053996876
78,0.017558388
79,0.03024174
80,0.012012777
81,0.014883377
82,0.008866672
83,0.013532108
84,-0.014905851
85,0.015970172
86,0.040059607
87,0.05082828
88,0.038920213
89,0.0061671827
90,0.04924992
91,0.018972795
92,0.011222837
93,0.0036624877
94,0.02982941
95,0.03710592
96,-0.001329181
97,-0.008588383
98,0.0545114
99,0.009774242
100,-0.011572521
101,0.013377477
102,0.0056616846
103,-0.0116736265
104,0.016800938
105,-0.012141338
106,0.013214142
107,0.03086209
108,0.02187371
109,0.01553949
110,0.032168128
111,0.0031624646
112,0.016868807
113,-0.0022351176
114,0.0006354778
115,-0.0036002693
116,-0.002664202
117,-0.023101415
118,0.0057892106
119,0.020613361
120,0.0144433305
121,0.021501355
122,-0.0069623124
123,0.035002023
124,0.00631605
125,-0.0030250594
126,-0.006214776
127,0.015581534
128,0.0103782555
129,0.0012012383
130,-0.010585699
131,0.026468607
132,0.009600354
133,-0.011746408
134,0.016539326
135,0.004792387
136,-0.011279581
137,0.026568307
138,-0.010071576
139,0.013633425
140,0.031239886
141,0.018818129
142,0.016180605
143,0.032418035
144,0.0071925274
145,0.014185907
146,-0.0009274265
147,0.00095874234
148,-0.0023499052
149,-0.0028380903
150,-0.02810532
151,0.0004574167
152,0.002381883
153,0.041701008
154,0.021668242
155,-0.0062580854
156,0.03403536
157,0.01114035
158,-0.0031989464
159,-0.006388665
160,0.013709256
161,0.009277101
162,-0.0006367778
163,-0.010759587
164,0.011699821
165,0.013713202
166,-0.009503328
167,0.015528518
168,0.01086083
169,-0.007734661
170,0.020557374
171,-0.005958723
172,0.014075688
173,0.040862467
174,0.011878154
175,0.013734467
176,0.035645254
177,0.008814731
178,0.025557341
179,-0.00032290674
180,0.005141703
181,-0.00067763653
182,-0.00033458715
183,-0.01890554
184,0.006224326
185,0.022331806
186,0.017367322
187,0.027174257
188,-0.0030233476
189,0.037205417
190,0.009016932
191,-0.00018012094
192,-0.0040396163
193,0.020565057
194,0.013840352
195,0.006473233
196,-0.0066467347
197,0.026831593
198,0.012624826
199,-0.010485736
200,0.015094463
201,0.011197316
202,-0.009941437
203,0.01946899
204,-0.0070470995
205,0.015699752
206,0.037611183
207,-0.00030594566
208,0.028264232
209,0.03303694
210,0.006161082
211,0.029017815
212,0.00061547215
213,0.0028332297
214,-0.0032958956
215,0.00018639295
216,-0.021623038
217,0.0029655008
218,0.030626044
219,0.021530205
220,0.03191865
221,-0.0052301222
222,0.03785262
223,0.007796234
224,-0.00017446907
225,-0.005127991
226,0.020021524
227,0.022416659
228,0.0053848596
229,-0.0077351057
230,0.030836234
231,0.017510127
232,-0.0056004375
233,0.019979764
234,0.016082615
235,-0.00505614
236,0.024354288
237,-0.0021618041
238,0.020585053
239,0.04189831
240,0.010663168
241,0.033149526
242,0.033505093
243,0.009392495
244,0.04353525
245,0.0055007664
246,0.010663723
247,0.0010974664
248,0.0050716875
249,-0.016737733
